300,1401.730575,1434.115874,1416.702377,208.121104,2944.147015
1000,433.608270,444.064331,436.214323,65.493863,926.298175
3000,149.242389,157.808837,150.966384,14.707912,322.473540
10000,44.783886,49.447107,45.333484,8.262414,100.997004
30000,15.376430,17.694040,15.689619,4.275733,37.044124
100000,4.780392,5.514412,5.009645,3.409768,12.940288
300000,1.684295,2.228560,1.902241,2.909067,5.038358
1000000,0.607882,1.003777,0.823780,2.575809,2.060398
3000000,0.293726,0.639679,0.494631,2.421471,1.103702
10000000,0.241097,0.558153,0.405876,2.441461,0.707069
30000000,0.206565,0.470568,0.362158,2.269531,0.532802
100000000,0.191177,0.468828,0.344689,2.292378,0.487239
300000000,0.187974,0.421747,0.339590,2.327675,0.431158
1000000000,0.184804,0.362151,0.338461,2.682424,0.367349
